Movie Name,Language,IMDb Rating,Running Time,Year of Release,Maturity Rating,type,platform
Bailaras,Punjabi,6.5,132,2017,All,Movie,Amazon Prime
Star Trek Into Darkness,English,7.7,132,2013,13+,Movie,Amazon Prime
Dharmam Thalai Kaakkum,Tamil,7.3,125,1963,All,Movie,Amazon Prime
Sakalakala Vallavan,Tamil,6.6,137,1982,All,Movie,Amazon Prime
Anacondas: The Hunt for the Blood Orchid,English,4.7,96,2004,16+,Movie,Amazon Prime
Surjo The Boss,Bengali,None,119,2017,13+,Movie,Amazon Prime
Na Jaane Kabse,Hindi,5.4,132,2011,NR,Movie,Amazon Prime
Kanya Rathna,Kannada,7.2,143,1963,NR,Movie,Amazon Prime
Jeans,Tamil,6.5,166,1998,All,Movie,Amazon Prime
History of Joy,Malayalam,5.1,119,2017,All,Movie,Amazon Prime
Auto Rani,Tamil,5.9,136,1992,NR,Movie,Amazon Prime
Tharakangale Sakshi,Malayalam,None,105,2015,NR,Movie,Amazon Prime
Top Cat (Marathi),Marathi,4.6,86,2012,7+,Movie,Amazon Prime
Wildling,English,5.5,88,2018,18+,Movie,Amazon Prime
Harry Potter and the Sorcerer's Stone,English,7.6,152,2001,All,Movie,Amazon Prime
Manichithrathazhu,Malayalam,8.7,155,1993,All,Movie,Amazon Prime
Underworld Awakening,Tamil,6.4,88,2012,18+,Movie,Amazon Prime
Deewana,Bengali,6.9,155,2013,13+,Movie,Amazon Prime
Aerial Ireland,English,8.2,46,2017,NR,Movie,Amazon Prime
Ebar Shobor,Bengali,None,124,2017,13+,Movie,Amazon Prime
Obhishopto Nighty,Bengali,5.5,111,2017,13+,Movie,Amazon Prime
Sex Drive,English,6.5,109,2008,18+,Movie,Amazon Prime
Shanghai,Hindi,7.2,109,2012,13+,Movie,Amazon Prime
Prem Nagar,Hindi,6.4,158,1974,All,Movie,Amazon Prime
Harry Potter and the Chamber of Secrets,Hindi,7.4,160,2002,All,Movie,Amazon Prime
Pailwaan (Kannada),Kannada, 6.4,163,2019,13+,Movie,Amazon Prime
Marshal,Telugu,6.7,140,2019,13+,Movie,Amazon Prime
Chowringhee,Bengali,7.5,159,2018,13+,Movie,Amazon Prime
Dostana,Hindi,6.7,161,1980,All,Movie,Amazon Prime
Koodi Vazhnthal Kodi Nanmai,Tamil,6.3,153,2000,All,Movie,Amazon Prime
10:30 am Local Call,Malayalam,5.8,127,2013,All,Movie,Amazon Prime
Warpeace,English,None,58,2020,13+,Movie,Amazon Prime
Rajapart Rangadurai,Tamil,7.6,150,1973,All,Movie,Amazon Prime
Shubhayathra,Malayalam,6.7,120,1990,NR,Movie,Amazon Prime
Ajab Gayer Ajab Katha,Bengali,None,128,2018,13+,Movie,Amazon Prime
Putra Badhu,Bengali,None,131,None,NR,Movie,Amazon Prime
Thanks for Sharing,English,6.4,112,2013,18+,Movie,Amazon Prime
Kathanam,Malayalam,3.8,110,2019,13+,Movie,Amazon Prime
Girlfriend,Marathi,6.5,137,2019,13+,Movie,Amazon Prime
Dhamaka,Malayalam,5.5,120,2020,13+,Movie,Amazon Prime
Golmaal Fun Unlimited,Hindi,7.4,142,2006,13+,Movie,Amazon Prime
Raja Yuvaraja,Kannada,None,134,1989,NR,Movie,Amazon Prime
Shami Kebab,Bengali,None,4,2020,13+,Movie,Amazon Prime
Bloodshot,Tamil,5.7,109,2020,13+,Movie,Amazon Prime
Jab We Met,Hindi,7.9,138,2007,All,Movie,Amazon Prime
Armed Response,English,3.8,89,2017,18+,Movie,Amazon Prime
Rush Hour 3,Hindi,6.2,90,2007,16+,Movie,Amazon Prime
Aam Sutra,Bengali,None,96,2017,13+,Movie,Amazon Prime
"Liar, Liar",Hindi,6.9,86,1997,16+,Movie,Amazon Prime
She's Funny That Way,English,6.1,93,2015,18+,Movie,Amazon Prime
Gharshane,Kannada,None,134,1984,NR,Movie,Amazon Prime
Dharam Veer,Hindi,6.7,156,1977,All,Movie,Amazon Prime
Mazhayathu,Malayalam,6.8,122,2018,All,Movie,Amazon Prime
Cast Away,English,7.8,143,2000,18+,Movie,Amazon Prime
Ninaithadhai Mudippavan,Tamil,7.2,159,1974,All,Movie,Amazon Prime
Hey Ram,Tamil,7.9,201,2000,18+,Movie,Amazon Prime
Alo Amar Alo,Bengali,6.5,133,2019,13+,Movie,Amazon Prime
Shatru Dhangso,Bengali,None,142,2017,13+,Movie,Amazon Prime
Aggradani,Bengali,7.9,116,1983,All,Movie,Amazon Prime
Zaroorat,Hindi,None,103,1972,NR,Movie,Amazon Prime
Mayurpankhi,Bengali,None,18,2019,13+,Movie,Amazon Prime
Beiimaan Love,Hindi,2.8,115,2016,18+,Movie,Amazon Prime
Mukham,Malayalam,7,117,1990,NR,Movie,Amazon Prime
In Harihar Nagar,Malayalam,8.6,127,1990,NR,Movie,Amazon Prime
Ghatkali,Bengali,6.6,117,1979,NR,Movie,Amazon Prime
Ek Phool Char Kante,Hindi,6.8,136,None,NR,Movie,Amazon Prime
Chasing Happiness,English,7.8,96,2019,16+,Movie,Amazon Prime
Maalai Nerathu Mayakkam (Malayalam),Malayalam,6.4,121,2015,18+,Movie,Amazon Prime
Beyond the Reach,English,5.6,87,2015,16+,Movie,Amazon Prime
Viralukketha Veekkam,Tamil,7.1,156,1999,NR,Movie,Amazon Prime
Gaurisankaram,Malayalam,4.5,101,2003,All,Movie,Amazon Prime
A Craft In A Bag,English,None,24,2020,13+,Movie,Amazon Prime
Akaash vani,Hindi,6.3,140,2013,13+,Movie,Amazon Prime
Barnali,Bengali,7.5,94,None,NR,Movie,Amazon Prime
Mangamma Gari Manavadu,Telugu,6.4,127,1984,NR,Movie,Amazon Prime
Happy Ending,Hindi,5.4,134,2014,NR,Movie,Amazon Prime
The Sunday Sessions,English,6.6,89,2020,13+,Movie,Amazon Prime
Amar Prem,Hindi,4,134,1972,NR,Movie,Amazon Prime
Byomkesh Parbo,Bengali,6.7,115,2016,13+,Movie,Amazon Prime
Marina Puratchi,Tamil,6.4,76,2019,All,Movie,Amazon Prime
Detective Dee: Mystery of the Phantom Flame,English,6.6,116,2011,13+,Movie,Amazon Prime
Horrible Bosses 2,English,6.3,108,2014,18+,Movie,Amazon Prime
Paruvam - Tamil,Tamil,None,54,1990,NR,Movie,Amazon Prime
NGK,Tamil,5.9,147,2019,All,Movie,Amazon Prime
Furry Vengeance,English,3.8,91,2010,7+,Movie,Amazon Prime
Genius,Telugu,8.4,142,2012,18+,Movie,Amazon Prime
Ulavuthurai,Tamil,7,162,1998,18+,Movie,Amazon Prime
Brick Mansions,English,5.7,90,2014,18+,Movie,Amazon Prime
Abhay,Telugu,7.8,140,2001,NR,Movie,Amazon Prime
Ottayaal Paatha (The Narrow Path),Malayalam,None,96,2016,All,Movie,Amazon Prime
Chingaari,Hindi,4.7,155,2006,13+,Movie,Amazon Prime
Dak Diye Jai,Bengali,None,90,1978,NR,Movie,Amazon Prime
Adda,Bengali,6.6,107,2019,13+,Movie,Amazon Prime
A Monsoon Date,Hindi,6.9,21,2019,NR,Movie,Amazon Prime
Enthino Pookunna Pookal,Malayalam,6.2,141,1982,NR,Movie,Amazon Prime
The End,Telugu,7.4,110,2003,NR,Movie,Amazon Prime
Once Upon a Time in America,English,8.4,229,1984,18+,Movie,Amazon Prime
Youth,English,7.3,123,2015,18+,Movie,Amazon Prime
Newton,Hindi,7.7,104,2017,13+,Movie,Amazon Prime
Mon Mayuree,Bengali,4,149,1990,NR,Movie,Amazon Prime
It Can Be Dangerous - City Of Dreams,Hindi,None,105,2014,NR,Movie,Amazon Prime
Paka Dekha,Bengali,6.8,95,1980,NR,Movie,Amazon Prime
Rishtey,Hindi,4.6,155,2002,13+,Movie,Amazon Prime
Wallet,Bengali,8.4,14,2018,13+,Movie,Amazon Prime
Criminal,Tamil,6.3,108,2016,18+,Movie,Amazon Prime
The Forbidden Kingdom,Tamil,6.6,100,2008,13+,Movie,Amazon Prime
Flight,English,7.3,138,2012,18+,Movie,Amazon Prime
"New Age, The",English,None,107,1994,18+,Movie,Amazon Prime
Uliyin Osai,Tamil,None,141,2008,All,Movie,Amazon Prime
Badshahi Angti,Bengali,6.6,106,2014,All,Movie,Amazon Prime
Mechanic Ressurection,English,5.7,94,2016,16+,Movie,Amazon Prime
The Curse of Abundance,English,6.7,69,2020,13+,Movie,Amazon Prime
Dinoshark,English,3.1,86,2010,16+,Movie,Amazon Prime
Seer Fish Fry,Bengali,None,3,2020,13+,Movie,Amazon Prime
The Ship Sinkers,English,7.7,46,2020,13+,Movie,Amazon Prime
Devadasu,Telugu,5.1,175,None,NR,Movie,Amazon Prime
Bal Ganesh 2 (Bengali),Bengali,None,73,2009,All,Movie,Amazon Prime
Double Happiness,English,7,87,1995,13+,Movie,Amazon Prime
Ganeshana Maduve,Kannada,7.6,127,1990,NR,Movie,Amazon Prime
Priyamaana Thozhi,Tamil,5.5,155,2003,All,Movie,Amazon Prime
Auzaar,Hindi,4.4,126,1997,13+,Movie,Amazon Prime
Trust WHO,English,6.5,54,2018,13+,Movie,Amazon Prime
Katmundu,Bengali,4.6,126,2018,13+,Movie,Amazon Prime
Kshamichu Ennoru Vakku,Malayalam,6.2,112,1986,NR,Movie,Amazon Prime
Tula Shikwin Changlach Dhada,Marathi,5.9,152,2007,All,Movie,Amazon Prime
Rangeelay,Punjabi,4.9,129,2013,NR,Movie,Amazon Prime
Vidyasagar,Bengali,8,111,2017,13+,Movie,Amazon Prime
Orphans of ISIS,English,None,60,2019,13+,Movie,Amazon Prime
Mighty Raju - Rio To Goa,Hindi,None,67,2019,All,Movie,Amazon Prime
Khazane Ki Khoj,Hindi,None,81,2017,13+,Movie,Amazon Prime
"Mambo Kings, The",English,None,102,1992,18+,Movie,Amazon Prime
Nene Mukhyamantri,Telugu,None,99,2019,13+,Movie,Amazon Prime
Jigri Dost,Hindi,6.4,152,None,NR,Movie,Amazon Prime
Bey Yaar,Gujarati, 8.5,154,2014,13+,Movie,Amazon Prime
Mithai,Hindi,4.3,137,2019,13+,Movie,Amazon Prime
East Bengaler Chhele,Bengali,None,125,2017,13+,Movie,Amazon Prime
Annamayya,Telugu,8,145,1997,NR,Movie,Amazon Prime
Challenge,Bengali,None,139,2017,13+,Movie,Amazon Prime
Mafia: Chapter 1,Tamil,6,111,2020,13+,Movie,Amazon Prime
Hangsharaj,Bengali,None,116,2017,13+,Movie,Amazon Prime
Break Ke Baad,Hindi,5.2,112,2010,All,Movie,Amazon Prime
Minority Report,English,7.6,145,2002,18+,Movie,Amazon Prime
Dunno Y... Na Jaane Kyon,English,None,137,2010,NR,Movie,Amazon Prime
Kabali,Tamil,6.2,143,2016,13+,Movie,Amazon Prime
Melle,Malayalam,6.2,113,2017,All,Movie,Amazon Prime
Uyire,Tamil,7.6,165,1998,18+,Movie,Amazon Prime
Bandipotu Simham,Telugu,5.8,125,1982,NR,Movie,Amazon Prime
Mayor Meenakshi,Tamil,None,155,1976,NR,Movie,Amazon Prime
Birds of Prey,Hindi,6.1,108,2020,18+,Movie,Amazon Prime
Michael Madhana Kamarajan,Tamil,8.5,160,1990,All,Movie,Amazon Prime
Atlas Shrugged: Part I,English,5.6,96,2011,13+,Movie,Amazon Prime
Guptodhoner Sandhane,Bengali,6.8,130,2018,All,Movie,Amazon Prime
Choricha Mamla,Marathi,6.4,132,2020,13+,Movie,Amazon Prime
702 Dixits,Marathi,4.8,115,2016,13+,Movie,Amazon Prime
Woh Chokri,Hindi,8,123,1994,NR,Movie,Amazon Prime
My Life Without Air,English,7,71,2019,13+,Movie,Amazon Prime
Pailwaan (Malayalam),Malayalam,6.4,163,2019,13+,Movie,Amazon Prime
Evil Eye,Hindi,4.7,89,2020,16+,Movie,Amazon Prime
Bickels [Socialism],English,None,91,2016,NR,Movie,Amazon Prime
Indriyam,Malayalam,5.1,127,2000,NR,Movie,Amazon Prime
Boss,Bengali,5.8,137,2013,13+,Movie,Amazon Prime
Evanukku Engeyo Matcham Irukku,Tamil,3.3,140,2018,18+,Movie,Amazon Prime
"Power of One, The",English,None,127,1992,16+,Movie,Amazon Prime
Firehouse Dog,English,5.5,111,2007,13+,Movie,Amazon Prime
Where is Vidya Balan,Telugu,None,122,2015,18+,Movie,Amazon Prime
Wonder,English,8,113,2017,7+,Movie,Amazon Prime
Saheb Bibi Golam,Bengali,7.9,149,None,NR,Movie,Amazon Prime
The Babadook,English,6.8,93,2014,18+,Movie,Amazon Prime
Andhi Varum Neram,Tamil,None,87,1990,NR,Movie,Amazon Prime
Kan Simittum Neram,Tamil,5.6,135,1988,NR,Movie,Amazon Prime
Ab Hoga Dharna Unlimited,Hindi,4,78,2012,NR,Movie,Amazon Prime
Esperanza,English,None,15,2019,13+,Movie,Amazon Prime
Friend Request,English,5.3,88,2017,18+,Movie,Amazon Prime
San Andreas,Tamil,6.1,114,2015,13+,Movie,Amazon Prime
Uraan,Bengali,None,35,2019,13+,Movie,Amazon Prime
Bhalobasar Rajprasade,Bengali,None,138,2017,13+,Movie,Amazon Prime
Horrible Bosses (2011),English,6.9,97,2011,18+,Movie,Amazon Prime
Vaisakhi List,Punjabi,6.4,143,2016,All,Movie,Amazon Prime
Dil Ki Baazi,Hindi,5.3,153,1993,All,Movie,Amazon Prime
Meri Majboori,Hindi,None,102,2005,NR,Movie,Amazon Prime
Gurkha,Tamil,4.9,141,2019,All,Movie,Amazon Prime
Maa Nanna Chiranjeevi,Telugu,5.4,112,2010,NR,Movie,Amazon Prime
Zakir Khan: Kaksha Gyarvi,Hindi,8.3,74,2018,18+,Movie,Amazon Prime
The Gruffalo’s Child,English,None,26,2011,All,Movie,Amazon Prime
Khubsoorat,Hindi,7.6,120,1980,All,Movie,Amazon Prime
Cloudy with a Chance of Meatballs,Hindi,6.9,89,2009,7+,Movie,Amazon Prime
Mutton Biryani,Bengali,None,6,2020,13+,Movie,Amazon Prime
Blood Diamond,English,8,143,2006,18+,Movie,Amazon Prime
Violin,Malayalam,None,130,2011,All,Movie,Amazon Prime
Chotoder Chobi,Bengali,7.8,108,2017,13+,Movie,Amazon Prime
Aruvadai Naal,Tamil,6.6,138,1986,NR,Movie,Amazon Prime
Requiem For A Dream,English,8.3,101,2000,18+,Movie,Amazon Prime
Marikannu Horimyage,Kannada,None,133,1998,NR,Movie,Amazon Prime
Annan Thambi,Malayalam,5.7,135,2008,NR,Movie,Amazon Prime
Lingaa,Hindi,5.6,148,2014,NR,Movie,Amazon Prime
Lajja,Hindi,6.7,202,2001,NR,Movie,Amazon Prime
Uttarayan,Bengali,7.2,135,2019,13+,Movie,Amazon Prime
Farewell Amor,English,6.9,117,2020,NR,Movie,Amazon Prime
Pudhu Pudhu Ragangal,Tamil,None,150,1990,NR,Movie,Amazon Prime
Bamma Maata Bangaru Baata,Telugu,7.2,153,1989,All,Movie,Amazon Prime
Darbar (Tamil),Tamil,6.1,158,2020,13+,Movie,Amazon Prime
Nenjirukkum Varai,Tamil,7.7,149,2006,All,Movie,Amazon Prime
Anandache Jhaad,Marathi,4,150,2006,All,Movie,Amazon Prime
The Florida Project,English,7.6,111,2017,18+,Movie,Amazon Prime
Copycat,English,6.6,123,1995,18+,Movie,Amazon Prime
Geostorm,English,5.3,109,2017,13+,Movie,Amazon Prime
Bharaate,Kannada, 4.9,164,2019,13+,Movie,Amazon Prime
Universal Soldier: Day of Reckoning,English,5,105,2012,18+,Movie,Amazon Prime
Aarada Gaaya,Kannada,None,137,1980,NR,Movie,Amazon Prime
The Condemned 2,English,4.2,90,2015,18+,Movie,Amazon Prime
Sound of Silence,Hindi,7.2,87,2017,All,Movie,Amazon Prime
American Pie Presents: The Naked Mile (Unrated),English,5.2,101,2006,18+,Movie,Amazon Prime
Nokkethadhoorathu Kannum Nattu,Malayalam,7.7,125,1984,NR,Movie,Amazon Prime
Kokkarakko,Malayalam,4.9,149,1995,NR,Movie,Amazon Prime
Besh Korechi Prem Korechi,Bengali,4.8,143,2015,All,Movie,Amazon Prime
Looper,Marathi,7.4,114,2012,18+,Movie,Amazon Prime
Adhe Kangal,Tamil,7.3,119,2017,All,Movie,Amazon Prime
Nadigaiyar Thilagam (Tamil),Tamil,8.5,167,2018,All,Movie,Amazon Prime
Jodi Love Dile Na Prane,Bengali,7.3,115,2017,13+,Movie,Amazon Prime
Annaya Attayachar,Bengali,5.2,159,2004,All,Movie,Amazon Prime
Favourite Nursery Rhymes,English,None,33,2014,All,Movie,Amazon Prime
Apocalypto,English,7.8,132,2006,18+,Movie,Amazon Prime
Aav Taru Kari Nakhu,Gujarati,6.4,126,2017,NR,Movie,Amazon Prime
Middle Class Madhavan,Tamil,6.6,154,2000,13+,Movie,Amazon Prime
Ajinkya,Marathi,3.7,105,2013,All,Movie,Amazon Prime
Albela,Hindi,3.7,139,2001,All,Movie,Amazon Prime
C.I.D.,Hindi,7.4,138,None,All,Movie,Amazon Prime
Kargil,Tamil,7.3,93,2018,All,Movie,Amazon Prime
Abhijan,Bengali,8,128,2017,13+,Movie,Amazon Prime
Nimantran,Bengali,8.2,122,2018,13+,Movie,Amazon Prime
Superman: Red Son,English,6.4,84,2020,13+,Movie,Amazon Prime
Dharmathin Thalaivan,Tamil,7,135,1988,NR,Movie,Amazon Prime
Dinoshark,Marathi,3.1,86,2010,16+,Movie,Amazon Prime
Elvis Home Movies,English,None,46,2020,13+,Movie,Amazon Prime
Darmiyaan: In Between,Hindi,7.3,128,1997,18+,Movie,Amazon Prime
The Crude Poker Game - A Geopolitical Investigation,English,None,54,2019,13+,Movie,Amazon Prime
Hettavaru,Kannada,None,141,1995,NR,Movie,Amazon Prime
Ke Tumi,Bengali,None,128,2008,NR,Movie,Amazon Prime
My Super Ex-Girlfriend,English,5.1,96,2006,16+,Movie,Amazon Prime
Zindagi Aur Maut,Hindi,6,119,2002,NR,Movie,Amazon Prime
Bachelor Party,Malayalam,5.1,119,2012,13+,Movie,Amazon Prime
Kambakkht Ishq,Hindi,3.9,134,2009,NR,Movie,Amazon Prime
Black and Blue,Telugu,6.4,107,2019,18+,Movie,Amazon Prime
Maqbool,Hindi,8.1,120,2004,All,Movie,Amazon Prime
Muniyana Madari,Kannada,7.5,141,1981,NR,Movie,Amazon Prime
Dilli Dreams,Hindi,6,9,2012,All,Movie,Amazon Prime
It Follows,English,6.8,99,2015,18+,Movie,Amazon Prime
Stalin,Telugu,7.1,168,2006,13+,Movie,Amazon Prime
Lapandav,Marathi,8.3,145,1993,All,Movie,Amazon Prime
Richie Rich (1994),English,5.4,94,1994,All,Movie,Amazon Prime
Jeevan Mrityu,Hindi,7,158,1970,NR,Movie,Amazon Prime
Buro Sadhu,Bengali,7.1,92,2019,13+,Movie,Amazon Prime
Manchukurisevelalo,Telugu,7.1,128,2018,All,Movie,Amazon Prime
Bad Ass,English,5.5,90,2012,13+,Movie,Amazon Prime
Missing,Hindi,5.8,120,2018,13+,Movie,Amazon Prime
Daag,Hindi,7,134,None,NR,Movie,Amazon Prime
The Vast of Night,English,6.7,90,2020,13+,Movie,Amazon Prime
Desi kattey,Hindi,None,138,2014,13+,Movie,Amazon Prime
Kantheredu Nodu,Kannada,8.1,135,1961,NR,Movie,Amazon Prime
The Legend of Tarzan,Tamil,6.2,109,2016,13+,Movie,Amazon Prime
Men in Black,English,7.3,97,1997,13+,Movie,Amazon Prime
The Raid: Redemption,Tamil,7.6,97,2012,18+,Movie,Amazon Prime
Lights Out,Telugu,6.3,80,2016,18+,Movie,Amazon Prime
Little Women,English,7.8,134,2019,All,Movie,Amazon Prime
Broken City,English,6.2,109,2013,18+,Movie,Amazon Prime
I Kill Giants,English,6.2,102,2018,16+,Movie,Amazon Prime
Saw 4,English,5.9,92,2007,18+,Movie,Amazon Prime
"Sunchaser, The",English,None,122,1996,18+,Movie,Amazon Prime
Birth of the Dragon,Telugu,5.5,91,2017,13+,Movie,Amazon Prime
Jalam,Malayalam,6.5,104,2016,All,Movie,Amazon Prime
American Psycho 2,English,3.8,88,2002,18+,Movie,Amazon Prime
Senjittale En Kadhala,Tamil,7.4,100,2017,All,Movie,Amazon Prime
Sagara Sangamam,Telugu,8.8,169,1983,All,Movie,Amazon Prime
Kashmir Daliy,Hindi,None,131,2018,NR,Movie,Amazon Prime
Mr. & Mrs. Smith,English,6.5,119,2005,16+,Movie,Amazon Prime
Fanney Khan,Hindi,4.5,129,2018,13+,Movie,Amazon Prime
Amar Bodyguard,Bengali,None,132,2018,13+,Movie,Amazon Prime
ASUR,Bengali,6.9,136,2020,All,Movie,Amazon Prime
Junior Senior,Tamil,4.1,137,2002,All,Movie,Amazon Prime
The Smurfs 2,Telugu,5.3,104,2013,7+,Movie,Amazon Prime
Ankahee,Hindi,4.1,151,2006,All,Movie,Amazon Prime
The Man in the Iron Mask,English,6.5,111,None,13+,Movie,Amazon Prime
Saaransh,Hindi,8.2,137,1984,13+,Movie,Amazon Prime
Rowdy Fellow,Telugu,6.6,137,2014,13+,Movie,Amazon Prime
Sthaniya Sambaad,Bengali,7.8,105,2020,13+,Movie,Amazon Prime
Parasakthi,Tamil,7.4,170,1952,All,Movie,Amazon Prime
Duniya,Hindi,7.1,169,1984,All,Movie,Amazon Prime
What If,English,6.8,97,2014,16+,Movie,Amazon Prime
Nagin Kanya,Bengali,None,131,2019,13+,Movie,Amazon Prime
Lolaab: A Valley in the Himalayas,English,None,57,2019,13+,Movie,Amazon Prime
Thayigobba Tharle Maga,Kannada,None,134,1989,NR,Movie,Amazon Prime
Megasnake,English,None,87,2007,18+,Movie,Amazon Prime
April 1 Vidudala,Telugu,7.7,144,1991,NR,Movie,Amazon Prime
Pizza Shop: An Italian-American Dream,English,None,57,2020,13+,Movie,Amazon Prime
Universal Soldier: Regeneration,Telugu,5.2,96,2010,18+,Movie,Amazon Prime
Police Police,Tamil,5.5,119,2010,NR,Movie,Amazon Prime
Do Knot Disturb,Hindi,3.6,125,2009,13+,Movie,Amazon Prime
Apne,Hindi,6,166,2007,All,Movie,Amazon Prime
The Last Airbender,Telugu,4,103,2010,All,Movie,Amazon Prime
"sex, lies and videotape",English,None,99,1989,18+,Movie,Amazon Prime
Villain,Bengali,4.9,132,2018,All,Movie,Amazon Prime
Vantas,Marathi,None,129,2018,NR,Movie,Amazon Prime
Chandralekha,Malayalam,7.5,172,1997,NR,Movie,Amazon Prime
Shutter Island,English,8.2,138,2010,18+,Movie,Amazon Prime
Following Seas,English,8.3,56,2019,13+,Movie,Amazon Prime
Rajwade and Sons,Marathi,7,124,2015,13+,Movie,Amazon Prime
Nirjan Saikate,Bengali,7.3,119,2018,13+,Movie,Amazon Prime
Bloodshot,Telugu,5.7,109,2020,13+,Movie,Amazon Prime
Pyaar Impossible,Hindi,4.6,140,2010,All,Movie,Amazon Prime
Akrandhana,Telugu,None,130,1986,NR,Movie,Amazon Prime
Dillagi,Hindi,5.3,146,None,NR,Movie,Amazon Prime
Habba,Kannada,None,141,1999,NR,Movie,Amazon Prime
Khanna & Iyer,Hindi,5.2,102,2007,13+,Movie,Amazon Prime
A Year in Burgundy,English,7,88,2013,13+,Movie,Amazon Prime
Jantar Mantar,Gujarati,None,121,2009,All,Movie,Amazon Prime
All Is Lost,English,6.9,101,2013,16+,Movie,Amazon Prime
Kamboji,Malayalam,None,137,2017,All,Movie,Amazon Prime
Shareek,Punjabi,7.3,133,2015,NR,Movie,Amazon Prime
Desi Boyz,Hindi,5.7,121,2011,NR,Movie,Amazon Prime
Passport,Hindi,6.1,135,None,NR,Movie,Amazon Prime
Banjo,Hindi,4.9,135,2016,NR,Movie,Amazon Prime
King Of Bollywood,Hindi,None,95,2004,All,Movie,Amazon Prime
Hijack,Hindi,3.7,117,2008,NR,Movie,Amazon Prime
Rathi Nirvedam,Telugu,5,114,1998,13+,Movie,Amazon Prime
Kismat,Hindi,3.6,149,1995,13+,Movie,Amazon Prime
American Ultra,English,6.1,95,2015,18+,Movie,Amazon Prime
Asche Aabar Shabor,Bengali,None,126,2019,13+,Movie,Amazon Prime
Thirunelliyile Penkutty,Malayalam,None,78,2002,NR,Movie,Amazon Prime
Kavi Kalidas,Hindi,7.1,139,None,NR,Movie,Amazon Prime
Ettupatti Rasa,Tamil,6,143,1997,All,Movie,Amazon Prime
RWANDA-17,English,None,63,2020,13+,Movie,Amazon Prime
Yoddha,Malayalam,8.4,142,1992,All,Movie,Amazon Prime
Maya,Bengali,None,26,2018,13+,Movie,Amazon Prime
Law Abiding Citizen,Telugu,7.4,104,2009,18+,Movie,Amazon Prime
Saare Jahaan Se Mehnga,Hindi,7.1,106,2013,All,Movie,Amazon Prime
Srivalli,Telugu,4.6,107,2017,13+,Movie,Amazon Prime
The Adventures of Tintin,English,7.3,106,2011,7+,Movie,Amazon Prime
Let Her Cry,English,6.2,94,2015,NR,Movie,Amazon Prime
Dharma,Tamil,7,150,1998,18+,Movie,Amazon Prime
Trisulam,Telugu,6.3,139,1982,NR,Movie,Amazon Prime
Alaigal Oyvathilai,Tamil,6.7,139,1981,All,Movie,Amazon Prime
Money (Telugu),Telugu,None,113,1993,All,Movie,Amazon Prime
Underworld Awakening,English,6.4,88,2012,18+,Movie,Amazon Prime
Manush Amanush,Bengali,None,173,2019,13+,Movie,Amazon Prime
Aparichithan,Malayalam,5.1,123,2004,13+,Movie,Amazon Prime
DNA,Marathi,8.3,126,2019,All,Movie,Amazon Prime
Texas Chainsaw Massacre,English,4.8,88,2013,18+,Movie,Amazon Prime
Train To Busan,English,7.6,113,2016,18+,Movie,Amazon Prime
Anaganaga Oka Roju,Telugu,7.1,124,1997,All,Movie,Amazon Prime
Alien Convergence,English,2.3,87,2017,13+,Movie,Amazon Prime
Raghavan,Telugu,4.9,167,2006,13+,Movie,Amazon Prime
Naaniruvude Ninagagi,Kannada,None,129,1979,NR,Movie,Amazon Prime
Looper,Hindi,7.4,114,2012,18+,Movie,Amazon Prime
Saptami,Bengali,None,141,2017,13+,Movie,Amazon Prime
Biwi Aur Makan,Hindi,7.1,126,None,NR,Movie,Amazon Prime
Enga Oor Singam,Tamil,None,125,1996,NR,Movie,Amazon Prime
Drive,English,7.8,99,2011,18+,Movie,Amazon Prime
16-Dec,Hindi,6.9,148,2002,13+,Movie,Amazon Prime
Ek Cup Chya,Marathi,7.3,119,2009,All,Movie,Amazon Prime
Olympus Has Fallen,Telugu,6.5,114,2013,18+,Movie,Amazon Prime
Zakh Marli Baiko Keli,Marathi,4.5,149,2008,All,Movie,Amazon Prime
Oraalppokkam,English,7.2,112,2014,NR,Movie,Amazon Prime
Raasta,Bengali,6.3,166,2003,All,Movie,Amazon Prime
Sarvam Sakthi Mayam,Tamil,None,142,1986,NR,Movie,Amazon Prime
The Raid 2,Tamil,8,144,2014,18+,Movie,Amazon Prime
Kobbari Bondam,Telugu,6.5,141,1991,All,Movie,Amazon Prime
Natun Jiban,Bengali,None,133,None,NR,Movie,Amazon Prime
Uyarum Njan Nadake,Malayalam,7.3,129,1985,NR,Movie,Amazon Prime
Kal Ho Naa Ho,Hindi,8,187,2003,All,Movie,Amazon Prime
Kuch Kuch Locha Hai,Hindi,2.5,144,2015,NR,Movie,Amazon Prime
Gippi,Hindi,5.6,93,2013,13+,Movie,Amazon Prime
Mangal Deep,Bengali,8.1,146,1989,NR,Movie,Amazon Prime
3 Doba 3 Mistakes Of God,Gujarati,None,157,2016,13+,Movie,Amazon Prime
Vivah,Hindi,6.6,166,2006,All,Movie,Amazon Prime
Daivathinte Makan,Malayalam,4.1,141,2000,NR,Movie,Amazon Prime
Mounam : Love is not a Game!,Kannada, 7.2,145,2020,13+,Movie,Amazon Prime
The Meg,Tamil,5.6,113,2018,13+,Movie,Amazon Prime
STONEHENGE - The Temple of Druids,English,None,12,2020,13+,Movie,Amazon Prime
The End,Hindi,7.4,10,2015,All,Movie,Amazon Prime
