Movie Name,Language,IMDb Rating,Running Time,Year of Release,Maturity Rating,type,platform
Vendetta (2015),English,None,90,2015,16+,Movie,Amazon Prime
Partner,Hindi,5.7,142,2007,NR,Movie,Amazon Prime
Daphne,English,6.1,87,2017,18+,Movie,Amazon Prime
Urumbukal Urangarilla,Malayalam,6.4,133,2015,13+,Movie,Amazon Prime
Neeharika,Malayalam,None,110,2014,NR,Movie,Amazon Prime
Jayasimha,Kannada,7.1,141,1987,NR,Movie,Amazon Prime
Despicable Me,Hindi,7.6,94,2010,7+,Movie,Amazon Prime
Mud,English,7.4,130,2012,16+,Movie,Amazon Prime
Mere Yaar Ki Shaadi Hai,Hindi,5.3,159,2002,All,Movie,Amazon Prime
Homefront,English,6.5,96,2013,18+,Movie,Amazon Prime
Gladiator,English,8.5,154,2000,18+,Movie,Amazon Prime
Mantramugdha,Bengali,None,125,1977,NR,Movie,Amazon Prime
De Dana Dan,Hindi,5.4,167,2009,NR,Movie,Amazon Prime
Rockstar,Hindi,7.7,157,2011,NR,Movie,Amazon Prime
The Pursuit of Happyness,English,8,117,2006,All,Movie,Amazon Prime
Baba Taraknath,Bengali,5.5,150,1977,All,Movie,Amazon Prime
Rajlakshmi O Srikanta,Bengali,6.2,132,2017,13+,Movie,Amazon Prime
Surya IPS,Telugu,6.9,143,1991,NR,Movie,Amazon Prime
Dil Jo Na Keh Saka,Hindi,5.4,125,2017,13+,Movie,Amazon Prime
Champion,Telugu,None,126,1992,NR,Movie,Amazon Prime
Gatham (Kannada),Kannada, 6.1,101,2020,18+,Movie,Amazon Prime
Dirty Dancing,English,7,100,1987,13+,Movie,Amazon Prime
Gatham (Malayalam),Malayalam,6.1,101,2020,18+,Movie,Amazon Prime
Ishhya,Marathi,5.5,119,2006,All,Movie,Amazon Prime
Ek Aur Ekk Gyaraah,Hindi,None,149,1981,NR,Movie,Amazon Prime
Universal Soldier: Day of Reckoning,Telugu,5,105,2012,18+,Movie,Amazon Prime
Manikarnika: The Queen of Jhansi,Tamil,6.4,140,2019,16+,Movie,Amazon Prime
Rowdy Baadshah,Hindi,6.4,130,2014,13+,Movie,Amazon Prime
Manamulla Marutharam,Tamil,None,147,1958,NR,Movie,Amazon Prime
Dare,Telugu,5.8,145,2011,NR,Movie,Amazon Prime
Jeevana Raagam,Telugu,None,135,1986,NR,Movie,Amazon Prime
Sugar Salt Ani Prem,Marathi,6.2,125,2015,All,Movie,Amazon Prime
Evil Eye,English,4.7,89,2020,16+,Movie,Amazon Prime
Swarg,Hindi,6.7,151,1990,All,Movie,Amazon Prime
Poojaikku Vantha Malar,Tamil,7.5,161,1965,NR,Movie,Amazon Prime
Bastard,English,None,7,2010,NR,Movie,Amazon Prime
Karunamoyee,Bengali,None,143,2017,13+,Movie,Amazon Prime
Nayakan,Tamil,8.6,156,1987,18+,Movie,Amazon Prime
Twister,Hindi,6.4,113,1996,13+,Movie,Amazon Prime
Bal Ganesh 3 (Tamil),Tamil,5.2,68,2015,7+,Movie,Amazon Prime
Goonda,Telugu,7,137,1984,NR,Movie,Amazon Prime
Bazar,Hindi,6,148,None,NR,Movie,Amazon Prime
LOL,English,4.4,92,2012,16+,Movie,Amazon Prime
Amari Duniya Tamari Duniya,Gujarati,None,133,2007,All,Movie,Amazon Prime
Project Y,English,None,44,2020,13+,Movie,Amazon Prime
Robin Hood,English,6.6,140,2010,13+,Movie,Amazon Prime
Mardaani,Hindi,7.3,113,2014,18+,Movie,Amazon Prime
Simham Puli,Telugu,None,154,2011,NR,Movie,Amazon Prime
