Name of the show,Year of release,Language,IMDb rating,Age of viewers,platform,type,tconst,runtimeMinutes,genres
The Last Tycoon,2017,English,7.7,18+,Amazon Prime,TV Show,tt3390892,61,Drama
Falling Water,2016,English,6.5,16+,Amazon Prime,TV Show,tt4520992,60,"Drama,Mystery,Sci-Fi"
The Collection,2016,English,7.1,16+,Amazon Prime,TV Show,tt5239494,60,"Drama,History,Romance"
Beat,2018,English,7.4,16+,Amazon Prime,TV Show,tt0870077,6,"Drama,Short"
Feed the Beast,2016,English,6.7,16+,Amazon Prime,TV Show,tt5363766,60,"Crime,Drama"
The Path,2016,English,7.3,18+,Amazon Prime,TV Show,tt13469990,\N,Crime
Lorena,2019,English,7.2,16+,Amazon Prime,TV Show,tt9134666,254,"Crime,Documentary"
Constantine,2015,English,7.5,16+,Amazon Prime,TV Show,tt3489184,43,"Crime,Drama,Fantasy"
Skulls and Roses,2019,Hindi,4.3,18+,Amazon Prime,TV Show,tt7983880,55,Reality-TV
Mr. Bean,1995,English,8.5,16+,Amazon Prime,TV Show,tt0096657,25,"Comedy,Family"
Two and a Half Men,2003,English,7.0,16+,Amazon Prime,TV Show,tt0369179,22,"Comedy,Romance"
Mom,2014,English,7.2,16+,Amazon Prime,TV Show,tt2660806,30,"Comedy,Drama,Romance"
Oggy and the Cockroaches,1998,Hindi,7.3,7+,Amazon Prime,TV Show,tt0213363,8,"Adventure,Animation,Comedy"
Seinfeld,1990,English,8.8,13+,Amazon Prime,TV Show,tt0098904,22,Comedy
The Mindy Project,2013,English,7.4,16+,Amazon Prime,TV Show,tt2211129,30,Comedy
Johnny Bravo,1998,English,7.2,7+,Amazon Prime,TV Show,tt0118360,30,"Adventure,Animation,Comedy"
Californication,2007,English,8.3,18+,Amazon Prime,TV Show,tt0904208,28,"Comedy,Drama"
Sigmund and the Sea Monsters,2017,English,6.9,All,Amazon Prime,TV Show,tt0069632,30,"Comedy,Family"
Anger Management,2012,English,6.6,13+,Amazon Prime,TV Show,tt1986770,22,"Comedy,Romance"
Forever,2018,English,7.2,16+,Amazon Prime,TV Show,tt7720790,30,"Comedy,Drama,Fantasy"
Dennis the Menace,1985,English,6.3,All,Amazon Prime,TV Show,tt0166910,30,"Animation,Comedy,Family"
Trial and Error,2017,English,8.0,13+,Amazon Prime,TV Show,tt0747586,\N,"Drama,Sport"
Man's World,2015,Hindi,7.3,13+,Amazon Prime,TV Show,tt5067172,\N,Comedy
Red Oaks,2015,English,7.9,18+,Amazon Prime,TV Show,tt3973820,30,"Comedy,Drama,Sport"
That Girl,1967,English,7.1,7+,Amazon Prime,TV Show,tt0060034,30,Comedy
Jim Gaffigan: Quality Time,2019,English,7.6,13+,Amazon Prime,TV Show,tt9657544,75,Comedy
Angie Tribeca,2016,English,7.0,16+,Amazon Prime,TV Show,tt3597790,30,"Action,Comedy,Crime"
The Grand Tour,2017,English,8.7,16+,Amazon Prime,TV Show,tt5712554,60,"Comedy,Talk-Show"
The Adventures of Paddington Bear,2007,English,7.1,All,Amazon Prime,TV Show,tt0314975,23,"Adventure,Animation,Family"
People of Earth,2016,English,7.7,All,Amazon Prime,TV Show,tt4695530,30,"Comedy,Mystery,Sci-Fi"
Crisis in Six Scenes,2016,English,6.6,18+,Amazon Prime,TV Show,tt4354616,23,Comedy
The Kacey Musgraves Christmas Show,2019,English,7.2,7+,Amazon Prime,TV Show,tt11225428,45,Music
The Danny Thomas Show,1958,English,7.2,All,Amazon Prime,TV Show,tt0045410,30,"Comedy,Family"
