IMDb id,Name,type,Running Time,Year,Age,IMDb Rating,genres,platform
tt2007413,Quick,Movie,107,2011,PG-13,5.8,Action,Amazon Prime
tt0222012,Hey Ram,Movie,199,2000,G,7.9,Crime,Amazon Prime
tt0214839,Karpagam,Movie,169,1963,G,7.4,Drama,Amazon Prime
tt0393941,Vellinakshatram,Movie,156,2004,G,4.9,Horror,Amazon Prime
tt0104548,Jeevan Ek Sanghursh,Movie,159,1990,G,4.8,Drama,Amazon Prime
tt2078763,Vaagai Sooda Vaa,Movie,125,2011,G,8.1,Comedy,Amazon Prime
tt3679060,Dishoom,Movie,121,2016,G,5.1,Action,Amazon Prime
tt5268348,Generation Wealth,Movie,106,2018,R,6.7,Documentary,Amazon Prime
tt1708453,Aakrosh,Movie,145,2010,R,7,Action,Amazon Prime
tt11082738,Zombieland: Double Tap,Movie,99,2019,R,7.4,Talk-Show,Amazon Prime
tt0355651,King Solomon,Movie,147,1996,G,3.3,\N,Amazon Prime
tt0246177,Punnami Naagu,Movie,130,1980,R,7.2,Drama,Amazon Prime
tt2804026,Aurangzeb,Movie,137,2013,PG-13,6.5,Action,Amazon Prime
tt0305897,Nirbachana,Movie,102,1994,G,6.4,Drama,Amazon Prime
tt0077760,Jaganmohini,Movie,146,1978,G,6.6,Fantasy,Amazon Prime
tt1800241,American Hustle,Movie,138,2013,R,7.2,Crime,Amazon Prime
tt0075086,The Pom Pom Girls,Movie,89,1976,R,4.9,Comedy,Amazon Prime
tt10128076,Vaai Kozhuppu,Movie,137,1989,G,3.5,\N,Amazon Prime
tt4559006,Ae Dil Hai Mushkil,Movie,155,2016,PG-13,5.8,Drama,Amazon Prime
tt0359619,Love 86,Movie,140,1986,G,5.7,Drama,Amazon Prime
tt0357809,Janta Hawaldar,Movie,126,1979,G,6.5,Comedy,Amazon Prime
tt3329774,Thira,Movie,109,2013,G,7.4,Thriller,Amazon Prime
tt3083008,The Program,Movie,103,2015,R,6.5,Biography,Amazon Prime
tt1806913,Golmaal Again,Movie,144,2017,PG-13,5,Action,Amazon Prime
tt0473604,Anukokunda Oka Roju,Movie,145,2005,G,8,Mystery,Amazon Prime
tt0468580,We Go Way Back,Movie,79,2006,G,6.2,Drama,Amazon Prime
tt7151480,Bhikari,Movie,123,2017,PG-13,6,Action,Amazon Prime
tt6916936,Ichak,Movie,104,2017,G,5.8,Romance,Amazon Prime
tt4400994,The Ballad of Lefty Brown,Movie,111,2017,R,6.3,Action,Amazon Prime
tt1219340,Full 3 Dhamaal,Movie,110,2008,G,5.8,Comedy,Amazon Prime
tt0318964,Abhinandana,Movie,130,1988,G,7.5,Drama,Amazon Prime
tt1055369,Transformers: Revenge of the Fallen,Movie,149,2009,PG-13,6,Action,Amazon Prime
tt9850646,Doorbeen,Movie,125,2019,PG-13,6,Adventure,Amazon Prime
tt0475591,Gharshana,Movie,158,2004,R,7.4,Action,Amazon Prime
tt0155985,Pyari Behna,Movie,136,1985,G,6.9,Action,Amazon Prime
tt0172156,Bad Boys II,Movie,146,2003,PG-13,6.6,Action,Amazon Prime
tt0271390,Bandhuvulostunnaru Jagratha,Movie,120,1989,G,6.6,Comedy,Amazon Prime
tt11614460,Troop Zero,Movie,97,2020,PG,7.6,Talk-Show,Amazon Prime
tt0187412,Pokkiri Raja,Movie,138,1982,G,6.2,Action,Amazon Prime
tt5389902,Lacchimdeviki O Lekkundi,Movie,107,2016,PG-13,5.2,Comedy,Amazon Prime
tt0456165,Salaam Namaste,Movie,158,2005,PG-13,6.2,Comedy,Amazon Prime
tt9890030,Prematho Mee Karthik,Movie,115,2017,G,6.8,Action,Amazon Prime
tt7273546,Overtake,Movie,119,2017,G,6.7,Action,Amazon Prime
tt2370248,Short Term 12,Movie,96,2013,R,8,Drama,Amazon Prime
tt1716777,People Like Us,Movie,114,2012,PG-13,7.1,Comedy,Amazon Prime
tt0318414,Maharasan,Movie,144,1993,G,5.6,Comedy,Amazon Prime
tt7176068,Maai Baap,Movie,110,2007,G,8.4,Drama,Amazon Prime
tt3183660,Fantastic Beasts and Where to Find Them,Movie,132,2016,PG-13,7.3,Adventure,Amazon Prime
tt3956366,Rathaavara,Movie,131,2015,PG-13,6.5,Crime,Amazon Prime
tt0081237,The Ninth Configuration,Movie,117,1980,R,7,Comedy,Amazon Prime
tt0274093,Sneham,Movie,134,1998,G,7.2,Drama,Amazon Prime
tt1226837,Beautiful Boy,Movie,120,2018,R,7.3,Biography,Amazon Prime
tt1340138,Terminator Genisys,Movie,125,2015,PG-13,6.3,Action,Amazon Prime
tt1107850,Unrelated,Movie,95,2007,G,6.8,Drama,Amazon Prime
tt0488798,Welcome,Movie,149,2007,PG-13,7,Comedy,Amazon Prime
tt0282889,Rajavinte Makan,Movie,128,1986,G,7.6,Action,Amazon Prime
tt7247282,Manya Sajjana,Movie,120,2008,G,8,Comedy,Amazon Prime
tt1231580,Alvin and the Chipmunks: The Squeakquel,Movie,88,2009,G,4.5,Adventure,Amazon Prime
tt6273430,Gold,Movie,145,2018,PG-13,8.2,Drama,Amazon Prime
tt2608652,Baap Re Baap Dokyala Taap,Movie,140,2008,G,5.9,Comedy,Amazon Prime
tt1879032,Rapture-Palooza,Movie,84,2013,R,5.2,Comedy,Amazon Prime
tt1319067,C.B.I. Shankar,Movie,130,1989,G,7.7,\N,Amazon Prime
tt0349333,Darna Mana Hai,Movie,116,2003,R,6.3,Horror,Amazon Prime
tt0250104,Vivaha Bhojanambu,Movie,138,1988,G,7.7,Comedy,Amazon Prime
tt0107090,Hear No Evil,Movie,96,1993,R,5,Thriller,Amazon Prime
tt0257451,Bobbili Brahmanna,Movie,122,1984,G,5.7,Action,Amazon Prime
tt0292552,Hum Ho Gaye Aap Ke,Movie,157,2001,PG-13,4.2,Drama,Amazon Prime
tt0366840,Okkadu,Movie,155,2003,G,8,Action,Amazon Prime
tt1748227,The Collection,Movie,77,2012,R,6.1,Horror,Amazon Prime
tt9624438,Bazaar,Movie,147,2019,PG-13,5.1,Action,Amazon Prime
tt0076213,It Happened One Christmas,Movie,110,1977,PG-13,6.1,Comedy,Amazon Prime
tt8535472,Silly Fellows,Movie,123,2018,G,6,Comedy,Amazon Prime
tt0231890,Kaya Hiner Kahini,Movie,113,1973,G,6.9,Drama,Amazon Prime
tt0157460,Chitchor,Movie,102,1976,G,7.5,Drama,Amazon Prime
