"","imdb_id","title","type","year","age","runtime","genre","rating","platform"
"2543","tt1356249","Ladies First","Movie",2018,"TV-G","43","Documentary",8,"Netflix"
"2544","tt11942100","Ladies Up","TV Show",2019,"TV-MA","N/A","Comedy",4.3,"Netflix"
"2545","tt1563095","Lady Bird","Movie",2017,"R","60","Biography",6.3,"Netflix"
"2546","tt4327752","Lady Bloodfight","Movie",2016,"R","100","Action",5.6,"Netflix"
"2547","tt7562334","Lady Driver","Movie",2019,"PG","104","Sport",5.8,"Netflix"
"2548","tt0125331","Lady Dynamite","TV Show",2017,"TV-MA","79","Adult",5.4,"Netflix"
"2549","tt0452637","Lady in the Water","Movie",2006,"PG-13","110","Drama",5.5,"Netflix"
"2550","tt4786132","Lady-Like","Movie",2018,"NC-17","82","Comedy",4.8,"Netflix"
"2551","tt6791240","Laerte-se","Movie",2017,"TV-MA","100","Documentary",7,"Netflix"
"2552","tt6115284","Lakeeran","Movie",2016,"TV-PG","113","Drama",5.9,"Netflix"
"2553","tt0323013","Lakshya","Movie",2004,"TV-PG","186","Action",7.9,"Netflix"
"2554","tt0237395","Lal Patthar","Movie",1971,"TV-14","148","Drama",6.5,"Netflix"
"2555","tt1984194","Lalbaug Parel: Zali Mumbai Sonyachi","Movie",2010,"TV-MA","146","Action",7.3,"Netflix"
"2556","tt1449940","Land Girls","TV Show",2011,"TV-14","225","Drama",7,"Netflix"
"2557","tt6423578","Lang Tong","Movie",2015,"TV-MA","82","Thriller",4.9,"Netflix"
"2558","tt7819668","Lara and the Beat","Movie",2018,"TV-MA","137","Drama",6.3,"Netflix"
"2559","tt0039550","Larceny","Movie",2017,"TV-14","89","Crime",6.9,"Netflix"
"2560","tt9654082","Larry Charles' Dangerous World of Comedy","TV Show",2019,"TV-MA","60","Comedy",7.3,"Netflix"
"2561","tt11464488","Larry the Cable Guy: Remain Seated","Movie",2020,"TV-14","67","Comedy",6.7,"Netflix"
"2562","tt0393421","Larva","TV Show",2015,"TV-Y7","96","Horror",4.2,"Netflix"
"2563","tt9077194","Larva Island","TV Show",2019,"TV-Y7","N/A","Adventure",6.5,"Netflix"
"2564","tt1585368","Las muñecas de la mafia","TV Show",2018,"TV-MA","N/A","Drama",6.7,"Netflix"
"2565","tt11157428","Last","TV Show",2015,"TV-14","N/A","Drama",8.5,"Netflix"
"2566","tt0268417","Last Breath","Movie",2019,"TV-MA","140","Adult",7,"Netflix"
"2567","tt5863126","Last Chance U","TV Show",2020,"TV-MA","55","Documentary",8.4,"Netflix"
"2568","tt6378942","Last Ferry","Movie",2019,"TV-MA","86","Crime",5.1,"Netflix"
"2569","tt2287851","Last Flight to Abuja","Movie",2012,"TV-14","81","Action",4.6,"Netflix"
"2570","tt2493486","Last Knights","Movie",2015,"R","115","Action",6.2,"Netflix"
"2571","tt0156729","Last Night","Movie",2010,"R","95","Comedy",7.2,"Netflix"
"2572","tt2216156","Last Tango in Halifax","TV Show",2020,"TV-MA","60","Comedy",8.3,"Netflix"
"2573","tt8234502","Late Life: The Chien-Ming Wang Story","Movie",2018,"TV-14","99","Documentary",7.2,"Netflix"
"2574","tt12827284","Lavender","TV Show",2002,"TV-14","13","Drama",5,"Netflix"
"2575","tt0118383","Lawless","Movie",2012,"R","60","Drama",8,"Netflix"
