imdb_id,title,type,rated,year,runtime,averageRating,genre,platform
tt1833403,Jake and the Never Land Pirates,TV Show,TV-Y,2011,15,5.6,Animation,Disney plus
tt1044418,Jonas,TV Show,N/A,2009,25,4.6,Comedy,Disney plus
tt3598030,K.C. Undercover,TV Show,TV-Y7,2015,30,6.1,Action,Disney plus
tt5118450,Lab Rats: Elite Force,TV Show,TV-Y7,2016,30,6.4,Adventure,Disney plus
tt0784896,Mickey Mouse Clubhouse,TV Show,TV-Y,2006,30,5.7,Animation,Disney plus
tt5439480,Milo Murphy's Law,TV Show,TV-Y7,2016,12,7.5,Animation,Disney plus
tt3067144,Phineas and Ferb: Star Wars,TV Show,TV-G,2014,51,8.2,Animation,Disney plus
tt2341339,Randy Cunningham: 9th Grade Ninja,TV Show,TV-G,2012,15,6.7,Animation,Disney plus
tt6311972,Raven's Home,TV Show,TV-G,2017,22,7.4,Comedy,Disney plus
tt2758770,Star vs. the Forces of Evil,TV Show,TV-Y7,2015,22,8,Animation,Disney plus
tt4488724,Stuck in the Middle,TV Show,TV-G,2016,30,5.9,Comedy,Disney plus
tt8959856,Sydney to the Max,TV Show,TV-G,2019,22,6.1,Comedy,Disney plus
tt1887491,Take Two with Phineas and Ferb,TV Show,TV-G,2010,2,6.5,Animation,Disney plus
tt3793630,The Lion Guard,TV Show,TV-Y,2016,30,6.4,Animation,Disney plus
tt8884364,Under the Sea: A Descendants Story,Movie,N/A,2018,10,6.1,Short,Disney plus
tt7010622,Vampirina,TV Show,TV-Y,2017,25,6.8,Animation,Disney plus
tt0088528,Adventures of the Gummi Bears,TV Show,TV-Y,1985,30,7.5,Animation,Disney plus
tt0122815,Disney's Doug,TV Show,N/A,1996,30,6.2,Animation,Disney plus
tt0092345,DuckTales,TV Show,TV-G,1987,23,8.1,Animation,Disney plus
tt7642482,Holiday Magic,TV Show,N/A,2017,63,7,N/A,Disney plus
tt0138967,Hercules,TV Show,TV-Y,1998,30,6.6,Animation,Disney plus
tt0278866,Kim Possible,TV Show,TV-G,2002,30,7.2,Animation,Disney plus
tt0756522,Little Einsteins,TV Show,TV-Y,2005,30,6.2,Animation,Disney plus
tt0115269,Mighty Ducks,TV Show,TV-Y7,1996,30,6.5,Animation,Disney plus
tt0126170,Recess,TV Show,TV-Y,1997,23,7.8,Animation,Disney plus
tt0465327,The Emperor's New School,TV Show,TV-G,2006,30,6.6,Animation,Disney plus
tt0219854,The Kid,Movie,PG,2000,104,6.1,Comedy,Disney plus
tt0103477,The Little Mermaid,TV Show,TV-Y,1992,25,6.8,Animation,Disney plus
tt0923160,Disneyland Around the Seasons,TV Show,TV-G,1966,60,7.5,Action,Disney plus
tt1223236,African Cats,Movie,G,2011,89,7.6,Documentary,Disney plus
