"","imdb_id","title","type","year","age","runtime","genre","rating","platform"
"5247","tt2139371","Transformers: Rescue Bots","TV Show",2016,"TV-Y7","20","Action","6.5","Netflix"
"5248","tt3604232","Transformers: Robots in Disguise","TV Show",2016,"TV-Y7","22","Action","6","Netflix"
"5249","tt0066482","Trash","Movie",2014,"R","110","Drama","6.3","Netflix"
"5250","tt5076792","Trash Fire","Movie",2016,"R","91","Comedy","5.8","Netflix"
"5251","tt9288860","Trash Truck","TV Show",2020,"TV-Y","N/A","Animation","8.4","Netflix"
"5252","tt0186778","Travelers","TV Show",2018,"TV-MA","N/A","Talk-Show","8.3","Netflix"
"5253","tt10856726","Travis Scott: Look Mom I Can Fly","Movie",2019,"TV-MA","84","Documentary","6.3","Netflix"
"5254","tt0209430","Tread","Movie",2019,"TV-MA","N/A","Documentary","8.1","Netflix"
"5255","tt6980988","Treasures from the Wreck of the Unbelievable","Movie",2017,"TV-G","90","Documentary","6","Netflix"
"5256","tt3246684","Tree Man","Movie",2015,"TV-PG","82","Documentary","6.7","Netflix"
"5257","tt8591984","Treehouse Detectives","TV Show",2018,"TV-Y","N/A","Animation","7.2","Netflix"
"5258","tt0100814","Tremors","Movie",1990,"PG-13","96","Comedy","7.1","Netflix"
"5259","tt0259685","Tremors 3: Back to Perfection","Movie",2001,"PG","104","Action","5.3","Netflix"
"5260","tt0334541","Tremors 4: The Legend Begins","Movie",2004,"PG-13","101","Action","5.3","Netflix"
"5261","tt8322060","Tremors: Shrieker Island","Movie",2020,"PG-13","103","Action","5.5","Netflix"
"5262","tt3305308","Trespass Against Us","Movie",2016,"R","99","Action","5.8","Netflix"
"5263","tt6562866","Trevor Noah: Afraid of the Dark","Movie",2017,"TV-14","67","Comedy","7.3","Netflix"
"5264","tt9170648","Trevor Noah: Son of Patricia","Movie",2018,"TV-MA","63","Comedy","7.3","Netflix"
"5265","tt9314996","Triad Princess","TV Show",2019,"TV-MA","N/A","Adventure","6.9","Netflix"
"5266","tt13363298","Trial 4","TV Show",2020,"TV-MA","437","Crime","7.4","Netflix"
"5267","tt9426194","Trigger Warning with Killer Mike","TV Show",2019,"TV-MA","30","Comedy","7","Netflix"
"5268","tt0090202","Trikal (Past, Present, Future)","Movie",1985,"TV-14","137","Drama","7","Netflix"
"5269","tt0114726","Trimurti","Movie",1995,"TV-PG","187","Action","4.8","Netflix"
"5270","tt9134194","Trinkets","TV Show",2020,"TV-MA","30","Comedy","7.1","Netflix"
"5271","tt4187650","Trip to Bhangarh: Asia's Most Haunted Place","Movie",2014,"TV-MA","113","Horror","2.4","Netflix"
"5272","tt1712261","Triple 9","Movie",2016,"R","115","Action","6.3","Netflix"
"5273","tt1488606","Triple Frontier","Movie",2019,"R","125","Action","6.4","Netflix"
"5274","tt0040904","Triple Threat","Movie",2019,"R","71","Action","6","Netflix"
"5275","tt10011508","Trixie Mattel: Moving Parts","Movie",2019,"TV-MA","91","Documentary","7.3","Netflix"
"5276","tt1734135","Trollhunters","TV Show",2018,"TV-Y7","23","Action","8.4","Netflix"
"5277","tt7539608","Trolls: The Beat Goes On!","TV Show",2019,"TV-Y7","25","Adventure","5.9","Netflix"
"5278","tt0629475","Trophy","Movie",2017,"TV-MA","47","Crime","8.1","Netflix"
"5279","tt1074443","Trotro","TV Show",2004,"TV-Y","3","Animation","6","Netflix"
"5280","tt0332452","Troy","TV Show",2018,"TV-MA","163","Drama","7.2","Netflix"
"5281","tt5734548","Troy: The Odyssey","Movie",2017,"TV-MA","90","Action","2.6","Netflix"
"5282","tt5774888","Truckbhar Swapna","Movie",2018,"TV-14","N/A","Drama","5.7","Netflix"
"5283","tt5607658","True and the Rainbow Kingdom","TV Show",2019,"TV-Y","22","Adventure","7.2","Netflix"
"5284","tt0065126","True Grit","Movie",1969,"G","128","Adventure","7.4","Netflix"
"5285","tt1542768","True Memoirs of an International Assassin","Movie",2016,"TV-14","98","Action","5.9","Netflix"
"5286","tt5116504","True to the Game","Movie",2017,"R","108","Crime","5.3","Netflix"
"5287","tt10522374","True Tunes","TV Show",2019,"TV-Y","N/A","Family","8","Netflix"
"5288","tt12855976","True: Friendship Day","Movie",2020,"TV-Y","23","Animation","6.9","Netflix"
"5289","tt12264582","True: Rainbow Rescue","Movie",2020,"TV-Y","23","Animation","6.1","Netflix"
"5290","tt12140808","True: Terrific Tales","TV Show",2020,"TV-Y","N/A","Animation","5.5","Netflix"
"5291","tt11875458","True: Wuzzle Wegg Day","Movie",2020,"TV-Y","23","Animation","7.1","Netflix"
"5292","tt0889671","Trumbo","Movie",2015,"R","96","Biography","7.5","Netflix"
"5293","tt7596008","Trump: An American Dream","TV Show",2018,"TV-14","N/A","Biography","7.2","Netflix"
"5294","tt0117980","Truth or Dare","Movie",2017,"TV-MA","100","Comedy","7.1","Netflix"
"5295","tt4990516","Tu Hai Mera Sunday","Movie",2016,"TV-14","119","Comedy","7.8","Netflix"
"5296","tt8036272","Tuca & Bertie","TV Show",2019,"TV-MA","26","Animation","7.4","Netflix"
"5297","tt2302945","Tukaram","Movie",2012,"TV-PG","156","Biography","7.3","Netflix"
"5298","tt1442583","Tum Milo Toh Sahi","Movie",2010,"TV-14","128","Comedy","5.6","Netflix"
"5299","tt0037404","Tunisian Victory","Movie",1944,"TV-14","75","Documentary","6.7","Netflix"
"5300","tt0213294","Tunnel","TV Show",2019,"TV-14","23","Fantasy","6.5","Netflix"
"5301","tt0211172","Turbo","Movie",2013,"PG","90","Crime","6.7","Netflix"
"5302","tt3010520","Turbo FAST","TV Show",2016,"TV-Y7","23","Action","6.4","Netflix"
"5303","tt8304498","Turn Up Charlie","TV Show",2019,"TV-MA","30","Comedy","7.1","Netflix"
"5304","tt0078356","Tusk","Movie",2014,"R","119","Drama","4.9","Netflix"
"5305","tt4726288","Twelve Forever","TV Show",2019,"TV-PG","N/A","Animation","7","Netflix"
"5306","tt1301023","Twice","Movie",2010,"TV-14","22","Comedy","8.4","Netflix"
"5307","tt0098936","Twin Peaks","TV Show",1990,"TV-14","47","Crime","8.8","Netflix"
"5308","tt2700596","Twinsanity","Movie",2018,"TV-MA","22","Action","7.7","Netflix"
"5309","tt4481920","Twirlywoos","TV Show",2018,"TV-Y","15","Animation","7.4","Netflix"
"5310","tt0204701","Two Fathers","TV Show",2013,"TV-14","13","Short","6.3","Netflix"
"5311","tt14311348","Two Graves","Movie",2018,"TV-MA","45","Crime","7.6","Netflix"
"5312","tt4412528","Two Lovers and a Bear","Movie",2016,"R","96","Adventure","6.1","Netflix"
"5313","tt6873926","Two Sentence Horror Stories","TV Show",2019,"TV-14","20","Drama","5.5","Netflix"
"5314","tt0105670","Twogether","TV Show",2020,"TV-G","120","Comedy","4.4","Netflix"
"5315","tt4254838","Tyke Elephant Outlaw","Movie",2015,"TV-14","78","Documentary","7.4","Netflix"
"5316","tt13303722","Typewriter","TV Show",2019,"TV-MA","N/A","Animation","8.5","Netflix"
"5317","tt0114759","Tyson","Movie",2008,"R","104","Biography","6.3","Netflix"
"5318","tt0120399","U Turn","Movie",2016,"TV-14","125","Crime","6.7","Netflix"
"5319","tt0070848","U-Turn","Movie",2020,"TV-MA","99","Drama","6.7","Netflix"
"5320","tt0287065","Udaan","Movie",2010,"TV-MA","128","Action","4.7","Netflix"
"5321","tt4434004","Udta Punjab","Movie",2016,"TV-MA","148","Action","7.8","Netflix"
"5322","tt0373409","Ugly","Movie",2013,"NR","20","Comedy","6.6","Netflix"
"5323","tt1132606","Ugly Aur Pagli","Movie",2008,"TV-14","117","Comedy","3.7","Netflix"
"5324","tt7907916","Ugly Delicious","TV Show",2020,"TV-MA","50","Documentary","7.8","Netflix"
"5325","tt0032071","Ugly Duckling","TV Show",2015,"TV-14","9","Animation","7.6","Netflix"
"5326","tt0157132","Ujala","Movie",1959,"TV-14","109","Crime","6.7","Netflix"
"5327","tt5607970","Ultimate Beastmaster","TV Show",2018,"TV-PG","55","Game-Show","7.3","Netflix"
"5328","tt0068145","Ultraman","TV Show",2019,"TV-14","N/A","Sci-Fi","7.6","Netflix"
"5329","tt10937434","Ultras","Movie",2020,"TV-MA","108","Drama","6","Netflix"
"5330","tt0105681","Ultraviolet","TV Show",2019,"TV-MA","80","Action","5.1","Netflix"
"5331","tt11506054","Uma Maheswara Ugra Roopasya","Movie",2020,"TV-MA","136","Drama","7.8","Netflix"
"5332","tt2614722","Umrika","Movie",2015,"TV-MA","98","Comedy","6.6","Netflix"
"5333","tt0174308","Una","Movie",2016,"R","110","Drama","7.3","Netflix"
"5334","tt0488658","Unaccompanied Minors","Movie",2006,"PG","90","Adventure","5.3","Netflix"
"5335","tt6400614","Unacknowledged","Movie",2017,"TV-MA","100","Documentary","7","Netflix"
"5336","tt7909970","Unbelievable","TV Show",2019,"TV-MA","385","Crime","8.4","Netflix"
"5337","tt3339966","Unbreakable Kimmy Schmidt","TV Show",2019,"TV-14","30","Comedy","7.6","Netflix"
"5338","tt0381678","Unbridled","Movie",2018,"TV-MA","N/A","Drama","8","Netflix"
